method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div15-Run0-lexicase,0,0,0,1.000,0.148
Div15-Run0-lexicase,0,1,82873506,0.284,0.276
Div15-Run0-lexicase,0,2,165926677,0.406,0.399
Div15-Run0-lexicase,0,3,251443809,0.482,0.470
Div15-Run0-lexicase,0,4,338044465,0.617,0.606
Div15-Run0-lexicase,0,5,425480538,0.674,0.661
Div15-Run0-lexicase,0,6,520962537,0.594,0.586
Div15-Run0-lexicase,0,7,616370892,0.555,0.545
Div15-Run0-lexicase,0,8,712237811,0.628,0.617
Div15-Run0-lexicase,0,9,805822251,0.679,0.672
Div15-Run0-lexicase,0,10,901727719,0.712,0.703
Div15-Run0-lexicase,0,11,993196740,0.749,0.742
Div15-Run0-lexicase,0,12,1082011216,0.749,0.743
Div15-Run0-lexicase,0,13,1165907745,0.759,0.758
Div15-Run0-lexicase,0,14,1246064706,0.769,0.752
Div15-Run0-lexicase,0,15,1325353374,0.735,0.732
Div15-Run0-lexicase,0,16,1400155422,0.771,0.765
Div15-Run0-lexicase,0,17,1473512319,0.745,0.734
Div15-Run0-lexicase,0,18,1544700962,0.770,0.760
Div15-Run0-lexicase,0,19,1612960919,0.808,0.804
Div15-Run0-lexicase,0,20,1677808784,0.782,0.774
Div15-Run0-lexicase,1,0,0,1.000,0.148
Div15-Run0-lexicase,1,1,82339960,0.282,0.276
Div15-Run0-lexicase,1,2,181295109,0.315,0.312
Div15-Run0-lexicase,1,3,269962626,0.323,0.317
Div15-Run0-lexicase,1,4,355307783,0.365,0.360
Div15-Run0-lexicase,1,5,438718918,0.464,0.448
Div15-Run0-lexicase,1,6,527001520,0.511,0.490
Div15-Run0-lexicase,1,7,616432862,0.550,0.541
Div15-Run0-lexicase,1,8,702674079,0.626,0.618
Div15-Run0-lexicase,1,9,789766668,0.666,0.658
Div15-Run0-lexicase,1,10,879014219,0.674,0.660
Div15-Run0-lexicase,1,11,970952785,0.658,0.645
Div15-Run0-lexicase,1,12,1064320789,0.614,0.607
Div15-Run0-lexicase,1,13,1157528623,0.619,0.609
Div15-Run0-lexicase,1,14,1250829244,0.631,0.621
Div15-Run0-lexicase,1,15,1347580849,0.633,0.630
Div15-Run0-lexicase,1,16,1441248887,0.666,0.657
Div15-Run0-lexicase,1,17,1533197609,0.653,0.644
Div15-Run0-lexicase,1,18,1626428934,0.685,0.678
Div15-Run0-lexicase,1,19,1718538861,0.711,0.702
Div15-Run0-lexicase,1,20,1811038003,0.715,0.701
Div15-Run0-lexicase,2,0,0,1.000,0.148
Div15-Run0-lexicase,2,1,83587785,0.284,0.279
Div15-Run0-lexicase,2,2,169257905,0.427,0.416
Div15-Run0-lexicase,2,3,257356969,0.554,0.545
Div15-Run0-lexicase,2,4,351592812,0.560,0.554
Div15-Run0-lexicase,2,5,444222065,0.583,0.573
Div15-Run0-lexicase,2,6,534028839,0.677,0.673
Div15-Run0-lexicase,2,7,623233211,0.728,0.718
Div15-Run0-lexicase,2,8,714622779,0.762,0.750
Div15-Run0-lexicase,2,9,812506078,0.733,0.727
Div15-Run0-lexicase,2,10,910425349,0.722,0.714
Div15-Run0-lexicase,2,11,1004004126,0.730,0.721
Div15-Run0-lexicase,2,12,1095970622,0.739,0.731
Div15-Run0-lexicase,2,13,1188216261,0.762,0.750
Div15-Run0-lexicase,2,14,1284277398,0.748,0.737
Div15-Run0-lexicase,2,15,1381575797,0.716,0.707
Div15-Run0-lexicase,2,16,1479426496,0.703,0.694
Div15-Run0-lexicase,2,17,1575827698,0.594,0.587
Div15-Run0-lexicase,2,18,1669037719,0.541,0.535
Div15-Run0-lexicase,2,19,1766794679,0.500,0.493
Div15-Run0-lexicase,2,20,1864806996,0.481,0.474
Div15-Run0-lexicase,3,0,0,1.000,0.148
Div15-Run0-lexicase,3,1,80563231,0.293,0.284
Div15-Run0-lexicase,3,2,162368994,0.411,0.394
Div15-Run0-lexicase,3,3,239376620,0.515,0.505
Div15-Run0-lexicase,3,4,315141196,0.575,0.567
Div15-Run0-lexicase,3,5,390252300,0.609,0.605
Div15-Run0-lexicase,3,6,471872772,0.630,0.624
Div15-Run0-lexicase,3,7,541918993,0.644,0.632
Div15-Run0-lexicase,3,8,605017617,0.690,0.680
