method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Drop25-Run0-lexicase,0,0,0,1.000,0.512
Drop25-Run0-lexicase,0,1,98364042,0.499,0.498
Drop25-Run0-lexicase,0,2,201033890,0.511,0.508
Drop25-Run0-lexicase,0,3,304129871,0.517,0.515
Drop25-Run0-lexicase,0,4,406367529,0.555,0.551
Drop25-Run0-lexicase,0,5,509145464,0.565,0.565
Drop25-Run0-lexicase,0,6,615914465,0.584,0.583
Drop25-Run0-lexicase,0,7,721997260,0.615,0.614
Drop25-Run0-lexicase,0,8,829974233,0.617,0.617
Drop25-Run0-lexicase,0,9,937327707,0.619,0.617
Drop25-Run0-lexicase,0,10,1048840854,0.576,0.575
Drop25-Run0-lexicase,0,11,1163061336,0.569,0.567
Drop25-Run0-lexicase,0,12,1279489203,0.564,0.561
Drop25-Run0-lexicase,0,13,1391514828,0.558,0.557
Drop25-Run0-lexicase,0,14,1502409874,0.526,0.524
Drop25-Run0-lexicase,0,15,1613473079,0.514,0.514
Drop25-Run0-lexicase,0,16,1723809530,0.411,0.411
Drop25-Run0-lexicase,0,17,1830746869,0.431,0.429
Drop25-Run0-lexicase,0,18,1938271225,0.419,0.418
Drop25-Run0-lexicase,0,19,2045730403,0.413,0.410
Drop25-Run0-lexicase,0,20,2153985167,0.395,0.394
Drop25-Run0-lexicase,1,0,0,1.000,0.512
Drop25-Run0-lexicase,1,1,98390700,0.500,0.498
Drop25-Run0-lexicase,1,2,199839578,0.492,0.488
Drop25-Run0-lexicase,1,3,301932254,0.530,0.526
Drop25-Run0-lexicase,1,4,406059537,0.564,0.561
Drop25-Run0-lexicase,1,5,509305272,0.568,0.566
Drop25-Run0-lexicase,1,6,614581107,0.593,0.590
Drop25-Run0-lexicase,1,7,720275856,0.617,0.612
Drop25-Run0-lexicase,1,8,828630944,0.562,0.561
Drop25-Run0-lexicase,1,9,938274462,0.476,0.476
Drop25-Run0-lexicase,1,10,1045958624,0.417,0.417
Drop25-Run0-lexicase,1,11,1155865551,0.375,0.375
Drop25-Run0-lexicase,1,12,1264193460,0.353,0.353
Drop25-Run0-lexicase,1,13,1372194784,0.325,0.322
Drop25-Run0-lexicase,1,14,1480748062,0.305,0.305
Drop25-Run0-lexicase,1,15,1590535641,0.341,0.340
Drop25-Run0-lexicase,1,16,1698251121,0.320,0.316
Drop25-Run0-lexicase,1,17,1806825996,0.309,0.307
Drop25-Run0-lexicase,1,18,1915156507,0.341,0.337
Drop25-Run0-lexicase,1,19,2022653949,0.323,0.319
Drop25-Run0-lexicase,1,20,2129913822,0.346,0.342
Drop25-Run0-lexicase,2,0,0,1.000,0.512
Drop25-Run0-lexicase,2,1,100156473,0.495,0.492
Drop25-Run0-lexicase,2,2,203387711,0.507,0.504
Drop25-Run0-lexicase,2,3,307021443,0.502,0.500
Drop25-Run0-lexicase,2,4,412698829,0.541,0.537
Drop25-Run0-lexicase,2,5,519052987,0.544,0.540
Drop25-Run0-lexicase,2,6,626534450,0.546,0.545
Drop25-Run0-lexicase,2,7,734214209,0.556,0.555
Drop25-Run0-lexicase,2,8,843906058,0.572,0.570
Drop25-Run0-lexicase,2,9,953026948,0.589,0.586
Drop25-Run0-lexicase,2,10,1060947555,0.579,0.576
Drop25-Run0-lexicase,2,11,1168661030,0.600,0.597
Drop25-Run0-lexicase,2,12,1281315688,0.385,0.384
Drop25-Run0-lexicase,2,13,1394218222,0.348,0.347
Drop25-Run0-lexicase,2,14,1507260681,0.379,0.375
Drop25-Run0-lexicase,2,15,1619612567,0.418,0.413
Drop25-Run0-lexicase,2,16,1733285973,0.404,0.401
Drop25-Run0-lexicase,2,17,1846140050,0.377,0.373
Drop25-Run0-lexicase,2,18,1959208547,0.382,0.380
Drop25-Run0-lexicase,2,19,2072637980,0.395,0.390
Drop25-Run0-lexicase,2,20,2186069088,0.400,0.395
Drop25-Run0-lexicase,3,0,0,1.000,0.512
Drop25-Run0-lexicase,3,1,101499194,0.509,0.506
Drop25-Run0-lexicase,3,2,201569690,0.514,0.512
Drop25-Run0-lexicase,3,3,303782500,0.538,0.535
Drop25-Run0-lexicase,3,4,409415324,0.562,0.560
Drop25-Run0-lexicase,3,5,515412856,0.571,0.567
Drop25-Run0-lexicase,3,6,623618711,0.599,0.592
Drop25-Run0-lexicase,3,7,731986048,0.584,0.582
Drop25-Run0-lexicase,3,8,840672185,0.582,0.580
Drop25-Run0-lexicase,3,9,948475593,0.619,0.617
Drop25-Run0-lexicase,3,10,1055602157,0.627,0.626
Drop25-Run0-lexicase,3,11,1162071099,0.633,0.630
Drop25-Run0-lexicase,3,12,1273063331,0.642,0.642
Drop25-Run0-lexicase,3,13,1381530339,0.606,0.604
Drop25-Run0-lexicase,3,14,1490469265,0.652,0.651
Drop25-Run0-lexicase,3,15,1597307446,0.603,0.602
Drop25-Run0-lexicase,3,16,1703779324,0.630,0.629
Drop25-Run0-lexicase,3,17,1810652913,0.617,0.616
Drop25-Run0-lexicase,3,18,1918240153,0.622,0.622
Drop25-Run0-lexicase,3,19,2025529252,0.623,0.621
Drop25-Run0-lexicase,3,20,2134980617,0.616,0.613
Drop25-Run0-lexicase,4,0,0,1.000,0.512
Drop25-Run0-lexicase,4,1,98357224,0.508,0.505
Drop25-Run0-lexicase,4,2,200776038,0.504,0.502
Drop25-Run0-lexicase,4,3,303046999,0.546,0.540
Drop25-Run0-lexicase,4,4,405284816,0.556,0.554
Drop25-Run0-lexicase,4,5,509021409,0.585,0.580
Drop25-Run0-lexicase,4,6,612970781,0.592,0.586
Drop25-Run0-lexicase,4,7,717880777,0.613,0.607
Drop25-Run0-lexicase,4,8,823791296,0.612,0.610
Drop25-Run0-lexicase,4,9,930564732,0.651,0.646
Drop25-Run0-lexicase,4,10,1039697225,0.564,0.560
Drop25-Run0-lexicase,4,11,1149682009,0.558,0.555
Drop25-Run0-lexicase,4,12,1258641285,0.561,0.560
Drop25-Run0-lexicase,4,13,1368946111,0.576,0.573
Drop25-Run0-lexicase,4,14,1480036673,0.569,0.569
Drop25-Run0-lexicase,4,15,1590867931,0.618,0.618
Drop25-Run0-lexicase,4,16,1701070760,0.593,0.592
Drop25-Run0-lexicase,4,17,1812231563,0.638,0.636
Drop25-Run0-lexicase,4,18,1924232567,0.611,0.610
Drop25-Run0-lexicase,4,19,2036161796,0.629,0.627
Drop25-Run0-lexicase,4,20,2147623871,0.607,0.605
Drop25-Run0-lexicase,5,0,0,1.000,0.512
Drop25-Run0-lexicase,5,1,100266241,0.498,0.494
Drop25-Run0-lexicase,5,2,202998117,0.475,0.471
Drop25-Run0-lexicase,5,3,308146749,0.536,0.534
Drop25-Run0-lexicase,5,4,414787221,0.557,0.556
Drop25-Run0-lexicase,5,5,521267361,0.608,0.606
Drop25-Run0-lexicase,5,6,629805275,0.597,0.590
Drop25-Run0-lexicase,5,7,740380610,0.628,0.625
Drop25-Run0-lexicase,5,8,851053095,0.632,0.631
Drop25-Run0-lexicase,5,9,960838812,0.644,0.643
Drop25-Run0-lexicase,5,10,1071594520,0.651,0.649
Drop25-Run0-lexicase,5,11,1183431428,0.624,0.622
Drop25-Run0-lexicase,5,12,1296340809,0.565,0.565
Drop25-Run0-lexicase,5,13,1407871314,0.537,0.533
Drop25-Run0-lexicase,5,14,1519257488,0.552,0.550
Drop25-Run0-lexicase,5,15,1633895698,0.539,0.537
Drop25-Run0-lexicase,5,16,1747205486,0.471,0.467
Drop25-Run0-lexicase,5,17,1859441834,0.382,0.382
Drop25-Run0-lexicase,5,18,1969988868,0.410,0.409
Drop25-Run0-lexicase,5,19,2081535565,0.372,0.371
Drop25-Run0-lexicase,5,20,2193737758,0.370,0.367
Drop25-Run0-lexicase,6,0,0,1.000,0.512
Drop25-Run0-lexicase,6,1,101444605,0.497,0.494
Drop25-Run0-lexicase,6,2,202518297,0.535,0.532
Drop25-Run0-lexicase,6,3,306809291,0.508,0.506
Drop25-Run0-lexicase,6,4,413735181,0.543,0.538
Drop25-Run0-lexicase,6,5,519469840,0.528,0.523
Drop25-Run0-lexicase,6,6,626691311,0.537,0.536
Drop25-Run0-lexicase,6,7,740478120,0.476,0.476
Drop25-Run0-lexicase,6,8,854219451,0.336,0.336
Drop25-Run0-lexicase,6,9,967469073,0.320,0.318
Drop25-Run0-lexicase,6,10,1080219328,0.331,0.330
Drop25-Run0-lexicase,6,11,1193408601,0.304,0.302
Drop25-Run0-lexicase,6,12,1306399826,0.336,0.336
Drop25-Run0-lexicase,6,13,1420265505,0.316,0.315
Drop25-Run0-lexicase,6,14,1533057063,0.344,0.342
Drop25-Run0-lexicase,6,15,1646166054,0.332,0.331
Drop25-Run0-lexicase,6,16,1758914999,0.332,0.329
Drop25-Run0-lexicase,6,17,1870067501,0.346,0.344
Drop25-Run0-lexicase,6,18,1982291532,0.338,0.337
Drop25-Run0-lexicase,6,19,2093774881,0.315,0.314
Drop25-Run0-lexicase,6,20,2205581760,0.327,0.327
Drop25-Run0-lexicase,7,0,0,1.000,0.512
Drop25-Run0-lexicase,7,1,98970278,0.498,0.494
Drop25-Run0-lexicase,7,2,197425005,0.511,0.509
Drop25-Run0-lexicase,7,3,300458012,0.532,0.530
Drop25-Run0-lexicase,7,4,407114350,0.526,0.524
Drop25-Run0-lexicase,7,5,514478426,0.582,0.580
Drop25-Run0-lexicase,7,6,619690550,0.622,0.619
Drop25-Run0-lexicase,7,7,724045765,0.609,0.608
Drop25-Run0-lexicase,7,8,829691723,0.599,0.599
Drop25-Run0-lexicase,7,9,937947144,0.549,0.548
Drop25-Run0-lexicase,7,10,1045728505,0.437,0.437
Drop25-Run0-lexicase,7,11,1154051118,0.413,0.412
Drop25-Run0-lexicase,7,12,1261384943,0.419,0.417
Drop25-Run0-lexicase,7,13,1369426672,0.391,0.390
Drop25-Run0-lexicase,7,14,1476758010,0.429,0.428
Drop25-Run0-lexicase,7,15,1584485918,0.449,0.448
