method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div15-Run0-lexicase,0,0,0,1.000,0.092
Div15-Run0-lexicase,0,1,70423806,0.138,0.136
Div15-Run0-lexicase,0,2,146300172,0.222,0.221
Div15-Run0-lexicase,0,3,231326122,0.284,0.284
Div15-Run0-lexicase,0,4,316525061,0.349,0.349
Div15-Run0-lexicase,0,5,402841949,0.370,0.369
Div15-Run0-lexicase,0,6,486622817,0.447,0.447
Div15-Run0-lexicase,0,7,573698572,0.478,0.477
Div15-Run0-lexicase,0,8,654566542,0.485,0.484
Div15-Run0-lexicase,0,9,738637301,0.491,0.490
Div15-Run0-lexicase,0,10,826646551,0.530,0.529
Div15-Run0-lexicase,0,11,913400237,0.562,0.561
Div15-Run0-lexicase,0,12,1002791110,0.572,0.572
Div15-Run0-lexicase,0,13,1088838830,0.575,0.575
Div15-Run0-lexicase,0,14,1179193100,0.586,0.585
Div15-Run0-lexicase,0,15,1268843411,0.640,0.639
Div15-Run0-lexicase,0,16,1355854245,0.638,0.636
Div15-Run0-lexicase,0,17,1444873111,0.646,0.645
Div15-Run0-lexicase,0,18,1532518807,0.675,0.675
Div15-Run0-lexicase,0,19,1618763258,0.700,0.700
Div15-Run0-lexicase,0,20,1703094617,0.701,0.701
Div15-Run0-lexicase,1,0,0,1.000,0.092
Div15-Run0-lexicase,1,1,70349430,0.122,0.122
Div15-Run0-lexicase,1,2,155994888,0.223,0.222
Div15-Run0-lexicase,1,3,247035187,0.331,0.329
Div15-Run0-lexicase,1,4,339138098,0.393,0.392
Div15-Run0-lexicase,1,5,432247408,0.454,0.452
Div15-Run0-lexicase,1,6,525120340,0.496,0.492
Div15-Run0-lexicase,1,7,620570795,0.509,0.507
Div15-Run0-lexicase,1,8,713598718,0.539,0.539
Div15-Run0-lexicase,1,9,807629730,0.530,0.530
Div15-Run0-lexicase,1,10,901862235,0.595,0.595
Div15-Run0-lexicase,1,11,995144715,0.587,0.587
Div15-Run0-lexicase,1,12,1087006926,0.599,0.598
Div15-Run0-lexicase,1,13,1178028071,0.634,0.634
Div15-Run0-lexicase,1,14,1268552767,0.679,0.679
Div15-Run0-lexicase,1,15,1358318178,0.719,0.718
Div15-Run0-lexicase,1,16,1448870932,0.697,0.696
Div15-Run0-lexicase,1,17,1538232152,0.715,0.714
Div15-Run0-lexicase,1,18,1624610366,0.725,0.724
Div15-Run0-lexicase,1,19,1709610675,0.704,0.702
Div15-Run0-lexicase,1,20,1790579270,0.722,0.722
Div15-Run0-lexicase,2,0,0,1.000,0.092
Div15-Run0-lexicase,2,1,70032257,0.128,0.128
Div15-Run0-lexicase,2,2,157079120,0.195,0.193
Div15-Run0-lexicase,2,3,248086454,0.254,0.252
Div15-Run0-lexicase,2,4,340983724,0.289,0.286
Div15-Run0-lexicase,2,5,433800795,0.340,0.339
Div15-Run0-lexicase,2,6,527228145,0.407,0.405
Div15-Run0-lexicase,2,7,621506920,0.422,0.420
Div15-Run0-lexicase,2,8,713923776,0.455,0.450
Div15-Run0-lexicase,2,9,805927016,0.463,0.461
Div15-Run0-lexicase,2,10,897558888,0.494,0.491
Div15-Run0-lexicase,2,11,986820388,0.372,0.367
Div15-Run0-lexicase,2,12,1081061873,0.300,0.293
Div15-Run0-lexicase,2,13,1171177135,0.307,0.298
Div15-Run0-lexicase,2,14,1260023530,0.332,0.319
Div15-Run0-lexicase,2,15,1349389093,0.350,0.336
Div15-Run0-lexicase,2,16,1440847510,0.368,0.359
Div15-Run0-lexicase,2,17,1533712443,0.431,0.422
Div15-Run0-lexicase,2,18,1627049072,0.452,0.444
Div15-Run0-lexicase,2,19,1718866954,0.484,0.478
Div15-Run0-lexicase,2,20,1814132762,0.468,0.459
Div15-Run0-lexicase,3,0,0,1.000,0.092
Div15-Run0-lexicase,3,1,68667359,0.154,0.154
Div15-Run0-lexicase,3,2,150342899,0.216,0.215
Div15-Run0-lexicase,3,3,240223501,0.250,0.248
Div15-Run0-lexicase,3,4,331603964,0.293,0.293
Div15-Run0-lexicase,3,5,422579050,0.353,0.352
Div15-Run0-lexicase,3,6,515530559,0.402,0.400
Div15-Run0-lexicase,3,7,608053264,0.452,0.450
Div15-Run0-lexicase,3,8,701888715,0.537,0.536
