method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Drop25-Run8-lexicase,0,0,0,1.000,0.544
Drop25-Run8-lexicase,0,1,26147265,0.547,0.539
Drop25-Run8-lexicase,0,2,48304590,0.541,0.537
Drop25-Run8-lexicase,0,3,67553277,0.530,0.517
Drop25-Run8-lexicase,0,4,87804810,0.543,0.530
Drop25-Run8-lexicase,0,5,107697520,0.571,0.556
Drop25-Run8-lexicase,0,6,127590741,0.539,0.534
Drop25-Run8-lexicase,0,7,148955683,0.605,0.599
Drop25-Run8-lexicase,0,8,169903312,0.633,0.620
Drop25-Run8-lexicase,0,9,189961669,0.643,0.629
Drop25-Run8-lexicase,0,10,208026953,0.647,0.628
Drop25-Run8-lexicase,0,11,228778920,0.695,0.678
Drop25-Run8-lexicase,0,12,247310321,0.658,0.640
Drop25-Run8-lexicase,0,13,266265669,0.667,0.654
Drop25-Run8-lexicase,0,14,286459414,0.698,0.673
Drop25-Run8-lexicase,0,15,306462990,0.655,0.643
Drop25-Run8-lexicase,0,16,327741115,0.761,0.744
Drop25-Run8-lexicase,0,17,351695339,0.737,0.720
Drop25-Run8-lexicase,0,18,375605171,0.758,0.747
Drop25-Run8-lexicase,0,19,402122162,0.785,0.776
Drop25-Run8-lexicase,0,20,429772473,0.815,0.804
Drop25-Run8-lexicase,1,0,0,1.000,0.544
Drop25-Run8-lexicase,1,1,25604744,0.548,0.541
Drop25-Run8-lexicase,1,2,46920102,0.561,0.552
Drop25-Run8-lexicase,1,3,65768925,0.532,0.523
Drop25-Run8-lexicase,1,4,84347063,0.554,0.543
Drop25-Run8-lexicase,1,5,103518221,0.554,0.545
Drop25-Run8-lexicase,1,6,122000058,0.535,0.526
Drop25-Run8-lexicase,1,7,142893864,0.558,0.552
Drop25-Run8-lexicase,1,8,162876832,0.553,0.546
Drop25-Run8-lexicase,1,9,181826818,0.618,0.609
Drop25-Run8-lexicase,1,10,198941074,0.617,0.611
Drop25-Run8-lexicase,1,11,217211419,0.636,0.623
Drop25-Run8-lexicase,1,12,237075973,0.646,0.634
Drop25-Run8-lexicase,1,13,255845198,0.678,0.668
Drop25-Run8-lexicase,1,14,274045900,0.705,0.694
Drop25-Run8-lexicase,1,15,292105061,0.668,0.651
Drop25-Run8-lexicase,1,16,310137255,0.693,0.678
Drop25-Run8-lexicase,1,17,327992085,0.673,0.658
